latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,source,temp_c,datetime,dt_nearest_hour
34.09503,-118.53008,332.52,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,303.09,83.7,N,J2,29.939999999999998,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19695,-118.12712,296.56,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,283.69,2.14,N,J2,10.54000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19439,-118.05814,301.14,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,283.35,2.53,N,J2,10.200000000000045,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19419,-118.05276,296.19,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,282.35,1.78,N,J2,9.200000000000045,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19139,-118.15855,296.96,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,281.59,2.0,N,J2,8.439999999999998,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19113,-118.15117,305.95,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,285.68,2.52,N,J2,12.53000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19086,-118.14372,299.99,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,285.19,2.52,N,J2,12.04000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19059,-118.13631,302.61,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,285.15,2.14,N,J2,12.0,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19033,-118.12902,303.25,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,284.75,2.14,N,J2,11.600000000000023,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19007,-118.12199,295.88,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,283.69,3.26,N,J2,10.54000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.18639,-118.02132,301.8,0.63,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,281.16,1.63,N,J2,8.010000000000048,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19722,-118.13458,296.24,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,284.72,2.14,N,J2,11.57000000000005,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.17985,-118.02438,330.77,0.63,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,284.47,7.62,N,J2,11.32000000000005,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.18369,-118.13047,301.11,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,283.76,3.97,N,J2,10.610000000000014,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.15245,-118.19527,297.47,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,280.09,0.85,N,J2,6.939999999999998,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09571,-118.5553,332.49,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,285.45,44.65,N,J2,12.300000000000011,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.0955,-118.54762,349.67,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,295.42,44.65,N,J2,22.27000000000004,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09534,-118.54162,367.0,0.68,0.74,2025-01-09,08:41,N21,high,2.0NRT,300.09,89.73,N,J2,26.939999999999998,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09519,-118.53606,355.44,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,316.98,89.73,N,J2,43.83000000000004,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.04205,-118.63398,314.62,0.69,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,282.2,3.63,N,J2,9.050000000000011,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09482,-118.52248,349.08,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,297.05,83.7,N,J2,23.900000000000034,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.09458,-118.51386,296.6,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,282.84,15.82,N,J2,9.689999999999998,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.08838,-118.53621,335.23,0.68,0.74,2025-01-09,08:41,N21,nominal,2.0NRT,293.69,8.84,N,J2,20.54000000000002,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.17961,-118.01781,328.22,0.63,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,283.57,7.62,N,J2,10.420000000000016,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19749,-118.14225,297.75,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,285.22,2.52,N,J2,12.07000000000005,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19777,-118.14996,302.55,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,285.15,2.52,N,J2,12.0,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19806,-118.15755,296.4,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,282.23,2.0,N,J2,9.080000000000041,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19453,-118.14021,299.93,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,285.68,2.88,N,J2,12.53000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.1943,-118.1327,301.85,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,285.06,2.88,N,J2,11.910000000000025,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19196,-118.05694,296.05,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,282.3,1.18,N,J2,9.150000000000034,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.18415,-118.02006,345.75,0.63,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,285.02,12.43,N,J2,11.870000000000005,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
